iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
1820,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.07122781
1830,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.077215979
1840,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.082340146
1850,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.087173767
1860,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.092986216
1870,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.097576355
1880,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.102338162
1890,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.106990648
1900,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.118002058
1910,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.123478282
1920,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.127896187
1930,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.132444234
1940,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.137236379
1950,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.142033986
1960,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.147032789
1970,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.151828057
1980,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.159525849
1990,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.167903074
2000,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.172127911
2010,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.176694585
2020,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.18190791
2030,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.194091631
2040,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.198991474
2050,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.204315213
2060,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.209231276
2070,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.213888941
2080,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.220410248
2090,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.226871161
2100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.232137594
2110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.239130551
2120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.243950207
2130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.249245516
2140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.254093834
2150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.264920617
2160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.270620453
2170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.279939689
2180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.285768445
2190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.290614363
2200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.319026358
2210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.323972851
2220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.32931416
2230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.335629824
2240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.340324922
2250,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.345571719
2260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.352106449
2270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.358371028
2280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.364971716
2290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.369746126
2300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.374452597
2310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.379310317
2320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.384369151
2330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.400425117
2340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.417383297
2350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.42287401
2360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.427350973
2370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.432740819
2380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.437624577
2390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.442717512
2400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.447757991
2410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.454150304
2420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.459401136
2430,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.46460405
2440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.47003674
2450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.475442976
2460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.479998626
2470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.486278965
2480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.491656583
2490,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.497527581
2500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.502331713
2510,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.515014416
2520,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.526191214
2530,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.531432875
2540,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.536420163
2550,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.541817673
2560,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.56323094
2570,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.573361826
2580,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.578487058
2590,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.583692362
2600,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.589694307
2610,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.597569277
2620,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.607114378
